Stasjon            Dato       Dyp Temperatur Salt        Kalibrert_temperatur Kalibrert_salt
Ingoy              11.03.1936 125 4.3        34.53       4.3                  34.53         
Ingoy              25.03.1936 125 4.77       34.75       4.77                 34.75         
Ingoy              06.04.1936 125            34.81                            34.81         
Ingoy              18.04.1936 125 4.02       34.62       4.02                 34.62         
Ingoy              02.05.1936 125 4.51       34.67       4.51                 34.67         
Ingoy              14.05.1936 125 4.5        34.65       4.5                  34.65         
Ingoy              30.05.1936 125 4.64       34.54       4.64                 34.54         
Ingoy              11.06.1936 125 5.05       34.61       5.05                 34.61         
Ingoy              23.06.1936 125 5.02       34.62       5.02                 34.62         
Ingoy              20.07.1936 125 5.54       34.85       5.54                 34.85         
Ingoy              05.08.1936 125 6.31       34.47       6.31                 34.47         
Ingoy              18.08.1936 125 6.95       34.6        6.95                 34.6          
Ingoy              02.09.1936 125 6.85       34.7        6.85                 34.7          
Ingoy              05.10.1936 125 7.72       34.68       7.72                 34.68         
Ingoy              21.10.1936 125 7.72       34.49       7.72                 34.49         
Ingoy              02.11.1936 125 7.39       34.6        7.39                 34.6          
Ingoy              16.11.1936 125 7.5        34.63       7.5                  34.63         
Ingoy              01.12.1936 125 7.19       34.34       7.19                 34.34         
Ingoy              14.12.1936 125 6.63       34.5        6.63                 34.5          
Ingoy              04.01.1937 125 5.74       34.3        5.74                 34.3          
Ingoy              19.01.1937 125 5.64       34.33       5.64                 34.33         
Ingoy              10.02.1937 125 5.47       34.59       5.47                 34.59         
Ingoy              20.02.1937 125 5.55       34.75       5.55                 34.75         
Ingoy              05.03.1937 125 4.84       34.69       4.84                 34.69         
Ingoy              16.03.1937 125 4.82       34.75       4.82                 34.75         
Ingoy              03.04.1937 125 4.58       34.69       4.58                 34.69         
Ingoy              15.04.1937 125 4.66       34.67       4.66                 34.67         
Ingoy              28.04.1937 125 4.74       34.66       4.74                 34.66         
Ingoy              10.05.1937 125 4.65       34.44       4.65                 34.44         
Ingoy              03.06.1937 125 5.04       34.54       5.04                 34.54         
Ingoy              15.06.1937 125 5.21       34.48       5.21                 34.48         
Ingoy              30.06.1937 125 6.18       34.71       6.18                 34.71         
Ingoy              14.07.1937 125 6.44       34.83       6.44                 34.83         
Ingoy              27.07.1937 125 6.94       34.84       6.94                 34.84         
Ingoy              12.08.1937 125 6.89       34.77       6.89                 34.77         
Ingoy              25.08.1937 125 6.8        34.72       6.8                  34.72         
Ingoy              08.09.1937 125 7.86       34.39       7.86                 34.39         
