Stasjon	Dato	Dyp	Temperatur	Salt	Kalibrert_temperatur	Kalibrert_salt
Ingoy	11.03.1936	1	3.58	34.41	3.58	34.41
Ingoy	25.03.1936	1	3.78	34.46	3.78	34.46
Ingoy	06.04.1936	1	34.44	34.44		
Ingoy	18.04.1936	1	3.14	34.4	3.14	34.4
Ingoy	02.05.1936	1	4.56	34.44	4.56	34.44
Ingoy	14.05.1936	1	5.01	34.45	5.01	34.45
Ingoy	30.05.1936	1	4.47	34.42	4.47	34.42
Ingoy	11.06.1936	1	6.58	34.45	6.58	34.45
Ingoy	23.06.1936	1	7.34	34.54	7.34	34.54
Ingoy	07.07.1936	1	7.78	34.17	7.78	34.17
Ingoy	20.07.1936	1	8.38	34.12	8.38	34.12
Ingoy	05.08.1936	1	9.46	33.95	9.46	33.95
Ingoy	18.08.1936	1	10.15	34.12	10.15	34.12
Ingoy	02.09.1936	1	9.69	34.1	9.69	34.1
Ingoy	05.10.1936	1	7.94	34.34	7.94	34.34
Ingoy	21.10.1936	1	7.4	33.92	7.4	33.92
Ingoy	02.11.1936	1	7.58	34.16	7.58	34.16
Ingoy	16.11.1936	1	6.99	34.04	6.99	34.04
Ingoy	01.12.1936	1	6.73	34.04	6.73	34.04
Ingoy	14.12.1936	1	5.89	34.04	5.89	34.04
Ingoy	04.01.1937	1	5.29	34.11	5.29	34.11
Ingoy	19.01.1937	1	5.53	34.25	5.53	34.25
Ingoy	10.02.1937	1	4.84	34.27	4.84	34.27
Ingoy	20.02.1937	1	4.9	34.4	4.9	34.4
Ingoy	05.03.1937	1	3.91	34.42	3.91	34.42
Ingoy	16.03.1937	1	3.63	34.42	3.63	34.42
Ingoy	03.04.1937	1	4.32	34.6	4.32	34.6
Ingoy	15.04.1937	1	4.09	34.47	4.09	34.47
Ingoy	28.04.1937	1	4.62	34.44	4.62	34.44
Ingoy	10.05.1937	1	4.89	34.39	4.89	34.39
Ingoy	03.06.1937	1	4.97	34.33	4.97	34.33
Ingoy	15.06.1937	1	6.05	34.36	6.05	34.36
Ingoy	30.06.1937	1	7.29	34.42	7.29	34.42
Ingoy	14.07.1937	1	8.75	34.05	8.75	34.05
Ingoy	27.07.1937	1	10.41	33.8	10.41	33.8
Ingoy	12.08.1937	1	9.58	34.37	9.58	34.37
Ingoy	25.08.1937	1	11.15	34.15	11.15	34.15
Ingoy	08.09.1937	1	10.28	33.99	10.28	33.99
Ingoy	23.09.1937	1	9.45	33.99	9.45	33.99
Ingoy	11.10.1937	1	8.71	33.91	8.71	33.91
Ingoy	25.10.1937	1	8.18	8.18		
Ingoy	09.11.1937	1	7.67	33.99	7.67	33.99
Ingoy	20.11.1937	1	7.29	33.99	7.29	33.99
Ingoy	01.12.1937	1	6.57	33.98	6.57	33.98
Ingoy	18.12.1937	1	5.64	34.01	5.64	34.01
Ingoy	12.01.1938	1	5.24	34.03	5.24	34.03
Ingoy	31.01.1938	1	4.28	34.07	4.28	34.07
Ingoy	11.02.1938	1	4.1	34.11	4.1	34.11
